# One verdict per exception. Hand-written; the field list beside it,
# testdata/api-fields.json, is not — `gates api-diff` writes that.
#
# out		the property is published and this server deliberately does not model it
# extra		the field is modelled and public discovery does not publish it
# alias		the schema is modelled by the struct the reason names (property *)
# owner		which API a struct of a shared name models (property *)
# unrelated	a struct sharing this schema's name is about something else (property *)
# local		a struct in internal/gchat that models no published schema at all (property *)
#
# local is the one verdict whose SECOND column names a Go struct rather
# than a schema, and whose API column is therefore `-`. It is what makes
# the set of compared types part of the rule: the gate walks the wire
# package as well as the snapshot, so a type renamed out of the way fails
# here instead of quietly dropping out of the comparison.
#
# The rule an out row is judged against: if a tool here WRITES a field,
# the types must carry it, because a person should not be able to set
# something no read will show them. Nothing below is written by a tool;
# the one field that was — a quoted message's attachments, modelled under
# the singular tag a Message uses — was a bug this gate found, and it is
# fixed rather than written off.
#
# api	schema	property	verdict	reason
#
# Two APIs publish a Membership. This server's is Chat's: who is in a
# space. People's is a contact group's membership, which it never reads.
chat	Membership	*	owner	Chat's: who is in a space, which list_members and add_member work on
chat	Attachment	name	out	send_message attaches an already-uploaded file by its data ref; the rest of an attachment is read back through get_message, which models Attachment itself
chat	Attachment	source	out	send_message attaches an already-uploaded file by its data ref; the rest of an attachment is read back through get_message, which models Attachment itself
chat	Attachment	thumbnailUri	out	send_message attaches an already-uploaded file by its data ref; the rest of an attachment is read back through get_message, which models Attachment itself
people	EmailAddress	*	alias	PersonEmail
people	EmailAddress	displayName	out	search_people reports the address and whether it is primary; nothing reads the rest
people	EmailAddress	formattedType	out	search_people reports the address and whether it is primary; nothing reads the rest
people	Name	*	alias	PersonName
people	Name	displayNameLastFirst	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	honorificPrefix	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	honorificSuffix	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	middleName	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	phoneticFamilyName	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	phoneticFullName	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	phoneticGivenName	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	phoneticHonorificPrefix	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	phoneticHonorificSuffix	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	phoneticMiddleName	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Name	unstructuredName	out	search_people reports the display name; no tool reads a person`s name broken into parts
people	Organization	*	alias	PersonOrg
people	Organization	costCenter	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	current	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	domain	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	endDate	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	formattedType	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	fullTimeEquivalentMillipercent	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	jobDescription	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	location	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	phoneticName	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	startDate	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	symbol	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Organization	type	out	search_people reports the job title and department; nothing reads the rest of an organisation entry
people	Photo	*	alias	PersonPhoto
people	Photo	default	out	search_people reports the picture url; nothing reads the rest
chat	SetUpSpaceRequest	*	alias	SetupSpaceRequest
chat	SetUpSpaceRequest	requestId	out	create_space builds the body itself and sends no idempotency token
#
# Request bodies and local shapes that model no published schema.
# A request body is deliberately a few fields of the resource, so
# aliasing it to that resource would claim it models the whole thing.
-	AccessSet	*	local	who may discover and join a space, as create_space asks for it, not as Chat returns it
-	GroupRef	*	local	the Google Group half of a membership request body
-	MemberRef	*	local	the member half of a membership request body
-	MembershipRequest	*	local	the spaces.members.create body: the member or group being added
-	ReactionRequest	*	local	the messages.reactions.create body: the emoji being added
-	SearchContactsResponse	*	local	people.searchContacts, whose response this server shapes for its own reading
-	SectionRequest	*	local	the users.sections.create body: the fields a custom section is made from
-	SendMessageRequest	*	local	the spaces.messages.create body: the few fields of Message a caller may set
-	SetupSpace	*	local	the space half of a spaces.setup body; a Space with only what setup accepts
-	UpdateMessageRequest	*	local	the patch body for a message: the one field update_message may set
-	UpdateSpaceDetails	*	local	the details half of an update_space body
-	UpdateSpaceRequest	*	local	the patch body for a space: the fields update_space may set, not a Space
-	UserInfo	*	local	the OpenID Connect userinfo response, which is not a Chat or People schema at all
-	errorEnvelope	*	local	the failed-answer shape apiError parses; not a published schema
